Код регіону;Назва регіону;Взято участь у проведенні документальних перевірок відповідно до ПКУ всього; у т.ч. планових;у т.ч. позапланових;Кількість складених матеріалів з ознаками кримінальних правопорушень всього; у т.ч. за результатами  планових переврок; у т.ч. за результатами позапланових перевірок
2;Вінницька;24;22;2;3;1;2
3;Волинська;7;3;4;1;1;0
4;Дніпропетровська ;7;7;0;0;0;0
5;Донецька;8;7;1;0;0;0
6;Житомирська;4;2;2;0;0;0
7;Закарпатська;14;14;0;0;0;0
8;Запорізька;27;23;4;2;2;0
9;Івано-Франківська;4;2;2;0;0;0
10;Київська;15;14;1;15;14;1
11;Кіровоградська;1;0;1;1;0;1
12;Луганська;9;4;5;2;1;1
13;Львівська;41;39;2;1;0;1
14;Миколаївська;1;1;0;0;0;0
15;Одеська;34;33;1;0;0;0
16;Полтавська;6;6;0;0;0;0
17;Рівненська;4;4;0;5;5;0
18;Сумська;2;2;0;1;1;0
19;Тернопільська;4;2;2;4;2;2
20;Харківська;1;1;0;1;1;0
21;Херсонська;5;3;2;3;1;2
22;Хмельницька;6;6;0;6;6;0
23;Черкаська;2;0;2;5;0;5
24;Чернівецька ;17;14;3;0;0;0
25;Чернігівська;8;7;1;3;2;1
26;м. Київ;164;163;1;116;116;0
28;Офіс ВПП ДФС;6;5;1;0;0;0
